Area_sqft,bathrooms,balconies,current_floor,total_floors,furnishing_status,Mapped_Area,facing,property_age_bucket,is_ready_to_move,is_built_up_area,is_carpet_area,is_super_built_up_area,Bedrooms,price
1845.0,1.0,2.0,6.0,13.0,1.0,31.0,8.0,4.0,1,False,True,False,3.0,90.0
1269.0,2.0,1.0,4.0,8.0,1.0,11.0,8.0,3.0,1,False,False,True,2.0,65.0
1629.0,3.0,2.0,3.0,7.0,0.0,13.0,0.0,4.0,0,True,False,False,3.0,54.0
955.0,3.0,1.0,2.0,14.0,1.0,19.0,8.0,0.0,1,False,True,False,3.0,125.0
1001.052,3.0,1.0,5.0,7.0,2.0,11.0,8.0,1.0,1,False,True,False,3.0,75.0
1304.0,2.0,1.0,8.5,25.0,0.0,5.0,8.0,4.0,0,False,False,True,2.0,155.0
4000.0,3.0,3.0,12.0,12.0,0.0,19.0,8.0,3.0,1,False,False,True,3.0,100.0
736.0,1.0,1.0,15.0,31.0,0.0,5.0,8.0,3.0,0,False,False,True,1.0,85.0
904.176,1.0,1.0,2.0,6.0,3.0,19.0,8.0,2.0,1,False,False,True,1.0,34.0
1485.0,2.0,1.0,4.0,8.0,0.0,19.0,8.0,4.0,1,True,False,False,2.0,78.0
1453.14,2.0,1.0,5.0,5.0,3.0,13.0,8.0,0.0,1,False,True,False,2.0,48.85
1377.0,2.0,3.0,5.0,8.0,0.0,19.0,8.0,3.0,1,False,False,True,2.0,75.0
1200.0,2.0,1.0,3.0,7.0,0.0,33.0,8.0,4.0,1,False,True,False,2.0,75.0
351.0,1.0,1.0,1.0,5.5,1.0,19.0,8.0,3.0,1,False,True,False,1.0,40.0
1044.0,2.0,1.0,4.5,7.0,3.0,19.0,0.0,2.0,1,False,False,True,2.0,50.0
1215.0,2.0,1.0,4.0,8.0,3.0,19.0,4.0,3.0,1,False,True,False,2.0,55.0
1305.0,2.0,1.0,7.0,14.0,2.0,19.0,8.0,0.0,1,False,True,False,2.0,70.0
2023.632,3.0,1.0,3.0,5.0,2.0,14.0,8.0,2.0,1,False,False,True,3.0,85.0
950.0,3.0,3.0,3.0,7.0,0.0,15.0,8.0,3.0,1,False,True,False,3.0,55.0
1325.0,2.0,2.0,12.0,22.0,0.0,5.0,8.0,3.0,0,False,True,False,2.0,119.0
1302.0,2.0,2.0,6.0,31.0,0.0,5.0,8.0,3.0,0,False,True,False,2.0,150.0
1200.0,3.0,2.0,0.0,1.0,0.0,20.0,8.0,3.0,1,False,True,False,3.0,157.0
600.0,2.0,1.0,5.0,6.0,3.0,33.0,8.0,0.0,1,False,True,False,1.0,35.5
1755.0,2.0,1.0,2.0,5.0,0.0,9.0,8.0,2.0,1,False,False,True,2.0,70.0
1485.0,2.0,1.0,3.0,9.0,3.0,19.0,4.0,3.0,1,True,False,False,2.0,67.0
950.0,3.0,2.0,4.0,8.0,0.0,30.0,8.0,4.0,1,False,True,False,3.0,90.0
9000.0,5.0,4.0,10.0,13.0,3.0,19.0,8.0,0.0,1,False,True,False,6.0,500.0
747.0,1.0,2.0,1.0,5.5,0.0,9.0,8.0,3.0,1,False,False,True,1.0,33.5
1511.0,2.0,1.0,8.5,25.0,0.0,5.0,8.0,4.0,0,False,False,True,2.0,136.0
1422.0,2.0,1.0,12.0,14.0,0.0,33.0,8.0,3.0,1,False,True,False,2.0,49.0
1030.95,2.0,3.0,0.0,1.0,2.0,19.0,8.0,3.0,1,False,True,False,2.0,58.0
846.0,2.0,1.0,4.0,8.0,0.0,19.0,8.0,4.0,1,False,False,True,2.0,55.0
1404.0,2.0,3.0,2.0,5.0,2.0,19.0,8.0,2.0,1,True,False,False,2.0,55.0
1584.0,3.0,1.0,5.0,13.0,0.0,11.0,8.0,0.0,1,False,False,True,2.0,90.0
1575.0,3.0,3.0,6.0,13.0,0.0,15.0,8.0,3.0,1,False,False,True,3.0,75.0
1511.0,2.0,2.0,7.5,25.0,0.0,5.0,8.0,3.0,0,False,False,True,2.0,145.0
1590.0,2.0,1.0,17.0,34.0,3.0,5.0,8.0,3.0,0,False,False,True,2.0,141.0
850.0,3.0,2.0,4.0,12.0,3.0,7.0,8.0,3.0,1,False,True,False,3.0,72.0
828.0,2.0,2.0,3.0,7.0,0.0,33.0,8.0,3.0,1,False,True,False,1.0,32.0
1179.0,2.0,1.0,5.0,8.0,0.0,14.0,4.0,3.0,1,False,False,True,2.0,60.0
1845.0,3.0,1.0,4.0,8.0,0.0,19.0,8.0,4.0,1,False,False,True,3.0,77.0
1557.0,3.0,1.0,4.0,8.0,0.0,19.0,8.0,3.0,1,False,False,True,3.0,69.0
2142.0,3.0,1.0,2.0,5.0,1.0,19.0,4.0,3.0,1,False,False,False,3.0,115.0
1845.0,3.0,2.0,2.0,5.0,1.0,5.0,8.0,3.0,1,True,False,False,3.0,77.0
1275.0,3.0,1.0,5.0,8.0,0.0,14.0,8.0,4.0,1,False,True,False,3.0,118.0
981.0,2.0,1.0,7.0,7.0,3.0,19.0,0.0,3.0,1,False,False,True,2.0,46.0
2550.0,3.0,1.0,4.0,8.0,3.0,19.0,8.0,3.0,1,False,True,False,3.0,121.0
1377.0,2.0,1.0,5.0,8.0,0.0,14.0,1.0,3.0,1,False,False,True,2.0,65.0
2100.0,3.0,1.0,4.0,8.0,2.0,19.0,8.0,4.0,1,False,True,False,3.0,100.0
3420.0,4.0,2.0,5.0,8.0,0.0,14.0,8.0,3.0,1,False,False,True,4.0,148.0
2124.0,3.0,3.0,5.0,13.0,3.0,19.0,2.0,3.0,1,True,False,False,3.0,91.0
1296.0,2.0,1.0,4.5,7.0,2.0,7.0,8.0,3.0,1,False,True,False,2.0,55.0
2000.0,3.0,1.0,4.0,8.0,0.0,19.0,4.0,3.0,1,False,False,True,3.0,125.0
1404.0,2.0,1.0,4.0,8.0,0.0,19.0,2.0,3.0,1,False,True,False,2.0,65.0
2160.0,3.0,1.0,4.0,8.0,1.0,19.0,8.0,4.0,1,False,True,False,3.0,85.0
2655.0,3.0,1.0,5.0,8.0,0.0,14.0,8.0,4.0,1,False,True,False,3.0,105.0
861.112,2.0,2.0,1.0,5.5,3.0,0.0,1.0,3.0,1,False,True,False,1.0,26.0
2025.0,3.0,1.0,4.0,8.0,0.0,11.0,4.0,3.0,1,False,True,False,3.0,130.0
945.0,3.0,1.0,6.0,13.0,0.0,14.0,8.0,4.0,1,False,True,False,3.0,93.0
1305.0,2.0,1.0,2.0,5.0,3.0,6.0,8.0,2.0,0,True,False,False,2.0,24.0
