Price,Area,Bathrooms,Balconies,Current_Floor,Total_Floors,Furnishing_Status,Mapped_Area,Facing,Property_Age,Bedrooms,Area_Type,Property_Status
40.0,351.0,1.0,1.0,1.0,5.5,furnished,Sargasan,Unknown,New,1.0,Carpet,Ready_to_Move
50.0,1044.0,2.0,1.0,4.5,7.0,unfurnished,Sargasan,East,5-10 years,2.0,Super Built-up,Ready_to_Move
55.0,1215.0,2.0,1.0,4.0,8.0,unfurnished,Sargasan,Other,New,2.0,Carpet,Ready_to_Move
70.0,1305.0,2.0,1.0,7.0,14.0,semi-furnished,Sargasan,Unknown,1-5 years,2.0,Carpet,Ready_to_Move
85.0,2023.632,3.0,1.0,3.0,5.0,semi-furnished,Randesan,Unknown,5-10 years,3.0,Super Built-up,Ready_to_Move
55.0,950.0,3.0,3.0,3.0,7.0,Unknown,Randheja,Unknown,New,3.0,Carpet,Ready_to_Move
119.0,1325.0,2.0,2.0,12.0,22.0,Unknown,Gift City,Unknown,New,2.0,Carpet,Under_Construction
150.0,1302.0,2.0,2.0,6.0,31.0,Unknown,Gift City,Unknown,New,2.0,Carpet,Under_Construction
157.0,1200.0,3.0,2.0,0.0,1.0,Unknown,Sector 11,Unknown,New,3.0,Carpet,Ready_to_Move
35.5,600.0,2.0,1.0,5.0,6.0,unfurnished,Vavol,Unknown,1-5 years,1.0,Carpet,Ready_to_Move
70.0,1755.0,2.0,1.0,2.0,5.0,Unknown,Koba,Unknown,5-10 years,2.0,Super Built-up,Ready_to_Move
67.0,1485.0,2.0,1.0,3.0,9.0,unfurnished,Sargasan,Other,New,2.0,Built-up,Ready_to_Move
90.0,950.0,3.0,2.0,4.0,8.0,Unknown,Sughad,Unknown,Unknown,3.0,Carpet,Ready_to_Move
500.0,9000.0,5.0,4.0,10.0,13.0,unfurnished,Sargasan,Unknown,1-5 years,6.0,Carpet,Ready_to_Move
33.5,747.0,1.0,2.0,1.0,5.5,Unknown,Koba,Unknown,New,1.0,Super Built-up,Ready_to_Move
136.0,1511.0,2.0,1.0,8.5,25.0,Unknown,Gift City,Unknown,Unknown,2.0,Super Built-up,Under_Construction
49.0,1422.0,2.0,1.0,12.0,14.0,Unknown,Vavol,Unknown,New,2.0,Carpet,Ready_to_Move
58.0,1030.95,2.0,3.0,0.0,1.0,semi-furnished,Sargasan,Unknown,New,2.0,Carpet,Ready_to_Move
55.0,846.0,2.0,1.0,4.0,8.0,Unknown,Sargasan,Unknown,Unknown,2.0,Super Built-up,Ready_to_Move
55.0,1404.0,2.0,3.0,2.0,5.0,semi-furnished,Sargasan,Unknown,5-10 years,2.0,Built-up,Ready_to_Move
90.0,1584.0,3.0,1.0,5.0,13.0,Unknown,Kudasan,Unknown,1-5 years,2.0,Super Built-up,Ready_to_Move
75.0,1575.0,3.0,3.0,6.0,13.0,Unknown,Randheja,Unknown,New,3.0,Super Built-up,Ready_to_Move
145.0,1511.0,2.0,2.0,7.5,25.0,Unknown,Gift City,Unknown,New,2.0,Super Built-up,Under_Construction
141.0,1590.0,2.0,1.0,17.0,34.0,unfurnished,Gift City,Unknown,New,2.0,Super Built-up,Under_Construction
72.0,850.0,3.0,2.0,4.0,12.0,unfurnished,Karai,Unknown,New,3.0,Carpet,Ready_to_Move
32.0,828.0,2.0,2.0,3.0,7.0,Unknown,Vavol,Unknown,New,1.0,Carpet,Ready_to_Move
60.0,1179.0,2.0,1.0,5.0,8.0,Unknown,Randesan,Other,New,2.0,Super Built-up,Ready_to_Move
77.0,1845.0,3.0,1.0,4.0,8.0,Unknown,Sargasan,Unknown,Unknown,3.0,Super Built-up,Ready_to_Move
69.0,1557.0,3.0,1.0,4.0,8.0,Unknown,Sargasan,Unknown,New,3.0,Super Built-up,Ready_to_Move
115.0,1122.56,3.0,1.0,2.0,5.0,furnished,Sargasan,Other,New,3.0,Carpet,Ready_to_Move
